[INFO] Calibrating Motors...
[INFO] Calibrated
yaw, 0.2, pitch, 0.1, roll, 0.2, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.2, pitch, 0.1, roll, 0.2, Hz, 99.5, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 994, m4_comm, 1004

yaw, 0.2, pitch, 0.1, roll, 0.2, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.2, pitch, 0.1, roll, 0.1, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.2, pitch, 0.1, roll, 0.1, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.2, pitch, 0.1, roll, 0.1, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 994, m4_comm, 1004

yaw, 0.2, pitch, 0.1, roll, 0.1, Hz, 99.2, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.1, roll, 0.1, Hz, 99.6, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.1, roll, 0.0, Hz, 104.8, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 994, m4_comm, 1004

yaw, 0.3, pitch, 0.1, roll, 0.0, Hz, 95.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.1, roll, 0.0, Hz, 99.6, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.1, roll, 0.0, Hz, 104.8, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 994, m4_comm, 1004

yaw, 0.3, pitch, 0.1, roll, -0.0, Hz, 100.1, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.1, roll, -0.0, Hz, 95.3, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.2, roll, -0.1, Hz, 99.8, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

